Year,Observation status,Unit multiplier,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,23.4
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,7.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,39.5
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,25.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,17.6
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,01_o,21.1
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,02_o,13.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,03_o,2.5
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,04_o,37.3
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,05_o,12.6
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,06_o,11.6
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,07_o,26.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,08_o,61.1
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,09_o,54.8
2017,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,10_o,70.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,24.2
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,10.6
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,37.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,25.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,19.1
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,01_o,20.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,02_o,18.8
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,03_o,5.6
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Volta,,,Percent,04_o,33.8
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Eastern,,,Percent,05_o,21.7
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Ashanti,,,Percent,06_o,14.8
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Brong Ahafo,,,Percent,07_o,27.9
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Northern,,,Percent,08_o,50.4
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper East,,,Percent,09_o,44.4
2013,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Upper West,,,Percent,10_o,70.7
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,,Percent,,28.5
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Rural,Percent,,10.8
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,,Urban,Percent,,39.2
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Male,,Percent,,31.4
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],,Female,,Percent,,19.1
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Western,,,Percent,01_o,22.9
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Central,,,Percent,02_o,23.4
2006,Normal value,Units,Proportion of population living below the national poverty line [1.2.1],Greater Accra,,,Percent,03_o,13.5
